id,status_group
50785,non functional
51630,functional
17168,non functional
45559,non functional
49871,functional needs repair
52449,functional
24806,non functional
28965,non functional
36301,functional
54122,functional
419,functional
45750,non functional
653,non functional
14017,non functional
44607,functional
40228,functional needs repair
27714,non functional
28785,functional
28330,functional needs repair
18532,non functional
69961,non functional
55083,functional
8691,non functional
30331,non functional
70970,functional needs repair
61136,functional
28799,non functional
46825,non functional
44718,functional needs repair
37350,functional needs repair
65738,functional needs repair
3271,non functional
42658,functional needs repair
67523,functional needs repair
37034,functional
42432,functional
27420,functional
707,functional
48489,functional needs repair
51008,functional
72562,non functional
10275,non functional
53540,functional needs repair
43291,non functional
8813,non functional
62343,non functional
1649,non functional
8822,non functional
10352,functional needs repair
50878,non functional
15266,functional needs repair
51956,functional
44099,functional
59,functional
51359,functional
15962,non functional
17853,functional needs repair
42040,functional needs repair
72243,functional
63653,functional needs repair
26510,functional
72053,non functional
29351,functional
51897,non functional
20376,non functional
26804,functional
67303,non functional
69780,non functional
45374,functional needs repair
54665,functional
39341,non functional
8869,functional needs repair
20691,functional
19693,functional
14321,non functional
63059,functional needs repair
67403,functional
28912,functional
12549,functional
24328,non functional
13750,non functional
1574,non functional
44149,functional
53917,functional needs repair
22705,functional
66465,functional needs repair
15644,functional needs repair
20773,non functional
33092,non functional
54392,functional
37850,functional
5576,functional
60840,functional needs repair
9971,functional
57508,functional
25872,non functional
43978,functional
38181,functional
24325,non functional
2724,functional needs repair
34794,functional
56525,functional needs repair
63155,functional
67247,functional
23387,non functional
17873,functional needs repair
18197,non functional
24834,functional needs repair
4091,functional
33261,functional
44384,functional
62096,non functional
64554,non functional
68314,functional
53,functional
23426,functional needs repair
38259,non functional
16631,functional
43162,functional
44492,functional needs repair
38884,functional needs repair
13690,functional
60335,non functional
31856,functional needs repair
67891,functional
25564,functional
55293,functional
31866,functional
71178,non functional
60279,functional
28615,functional
8744,functional
48308,functional needs repair
49626,non functional
38098,functional
30309,functional
8015,non functional
3496,non functional
56971,functional
68616,functional needs repair
8646,functional
74104,non functional
37501,functional needs repair
33001,functional
69202,functional
68409,functional
51847,non functional
55647,non functional
17923,functional
